116,Tyler Eifert,15,TE,CIN,7,81,176,121.2,21.1,137,5.2,5.6,0.23
117,Dwayne Allen,15,TE,IND,10,94,177,124.4,17.8,155,5.8,4.3,0.12
118,Heath Miller,15,TE,PIT,11,92,152,125.2,13,185,5.6,3.3,0.05
119,Seattle Seahawks,15,DST,SEA,9,105,146,127.6,9.8,120,8,5,0.18
120,Roy Helu,15,RB,OAK,6,86,181,121.6,20.5,133,4.7,2.9,0.01
121,Austin Seferian-Jenkins,15,TE,TB,6,95,159,124.7,14.8,146,4.9,7.7,0.38
122,Antonio Gates,15,TE,SD,10,92,185,124.9,17.8,130,5.3,3.1,0.03
123,Kevin White,14,WR,CHI,7,71,193,117.2,35,83,6.6,5,0.18
124,David Cobb,15,RB,TEN,4,91,230,129.4,25.8,124,4.2,5,0.18
125,Larry Donnell,15,TE,NYG,11,93,176,126.4,20.1,160,5.5,5.6,0.22
126,David Johnson,15,RB,ARI,9,71,168,124.3,18.6,111,5.3,6,0.25
127,Owen Daniels,15,TE,DEN,7,67,200,127,27.9,123,5.6,5.6,0.22
128,Josh Hill,15,TE,NO,11,70,199,126,23.5,126,5.7,2.7,0
129,Davante Adams,15,WR,GB,7,86,164,127.4,24.1,109,6.1,3.7,0.08
130,Colin Kaepernick,16,QB,SF,10,84,192,134.9,28.1,138,15.7,3.3,0.05
131,Rueben Randle,15,WR,NYG,11,51,179,122.3,23.2,148,6.5,3.3,0.05
132,Darren Sproles,15,RB,PHI,8,65,183,129.1,29.8,125,4.9,3.8,0.09
133,Darren McFadden,16,RB,DAL,6,97,164,132.8,19.4,104,5.3,4.6,0.15
134,Buffalo Bills,16,DST,BUF,8,113,153,137.8,10.8,127,8,5,0.18
135,St. Louis Rams,16,DST,STL,6,114,161,141.2,10.7,143,8,5,0.18
136,Charles Clay,16,TE,BUF,8,93,174,137.9,17.9,178,5.4,3.3,0.05
137,Teddy Bridgewater,16,QB,MIN,5,93,180,140,19,132,15,7.5,0.37
138,Fred Jackson,16,RB,BUF,8,91,185,135.9,22.8,166,4.6,3,0.02
139,Sam Bradford,16,QB,PHI,8,86,193,133.9,23.2,135,14.4,15.7,1
140,Houston Texans,16,DST,HOU,9,118,172,143.2,11.4,129,8,5,0.18
141,Kenny Stills,17,WR,MIA,5,92,186,128,22.5,136,6.4,4.7,0.15
142,Devante Parker,17,WR,MIA,5,85,174,131.3,23.5,118,5.3,5,0.18
143,Steve Johnson,17,WR,SD,10,54,197,132,39.3,153,5.2,2.9,0.01
144,Jay Ajayi,18,RB,MIA,5,56,291,144.4,40.1,131,3.8,5,0.18
145,Jordan Reed,17,TE,WAS,8,70,189,132.2,22.8,165,5.1,5.5,0.22
146,Brian Quick,17,WR,STL,6,87,168,134.4,18.5,140,6.4,5.8,0.24
147,Knile Davis,18,RB,KC,9,106,193,142.6,21.1,121,5,3.9,0.09
148,Dwayne Bowe,17,WR,CLE,11,85,196,136.1,25.1,182,6.3,4.6,0.15
149,Percy Harvin,17,WR,BUF,8,73,203,137.2,34.2,134,5.9,9.8,0.54
150,Vernon Davis,18,TE,SF,10,104,194,142.7,23.5,156,5.2,8.8,0.47
151,Terrance Williams,18,WR,DAL,6,111,192,143.7,20.8,119,6.9,3.7,0.08
152,Carson Palmer,18,QB,ARI,9,117,200,150.2,15.8,144,14.6,2.9,0.01
153,Joe Flacco,18,QB,BAL,9,86,191,146.4,25.4,139,15.3,3.4,0.06
154,Alfred Blue,17,RB,HOU,9,70,252,138.5,47.8,128,5.8,3.9,0.1
155,Coby Fleener,18,TE,IND,10,113,190,148.7,20.9,142,5.6,3.4,0.05
156,Arizona Cardinals,19,DST,ARI,9,126,208,157.1,14.5,163,8,5,0.18
157,Ladarius Green,18,TE,SD,10,107,226,150.7,24.8,170,4.1,9.7,0.54
158,Doug Baldwin,18,WR,SEA,9,94,173,145,19.5,177,6.8,3.7,0.08
159,Jerick McKinnon,18,RB,MIN,5,111,237,152.6,28.4,174,3.6,3,0.02
160,Terrance West,18,RB,CLE,11,94,300,153.9,39.6,189,4.3,7.8,0.39
161,Michael Crabtree,18,WR,OAK,6,63,189,145.7,28.9,152,5.6,4.2,0.11
162,Jay Cutler,18,QB,CHI,7,111,196,152.6,17.7,157,15,3.2,0.04
163,Marvin Jones,18,WR,CIN,7,91,193,148.9,24.8,154,5.2,4.8,0.16
164,Andre Williams,19,RB,NYG,11,97,240,157.8,28,158,3.7,6.9,0.33
165,Eric Ebron,18,TE,DET,9,110,190,153.3,20.4,179,4.4,2.7,0
166,James White,18,RB,NE,4,73,254,144.5,45,164,3.2,3.6,0.07
167,Denard Robinson,20,RB,JAC,8,106,244,160.3,30.6,175,4.4,10.8,0.62
168,New England Patriots,20,DST,NE,4,128,198,165.2,13.5,211,8,5,0.18
169,Eddie Royal,18,WR,CHI,7,91,276,151.1,46,167,5.2,3.6,0.07
170,Denver Broncos,20,DST,DEN,7,122,194,162.8,15.7,181,8,5,0.18
171,Montee Ball,19,RB,DEN,7,55,196,159.8,32.3,141,4.4,4.2,0.12
172,Jared Cook,20,TE,STL,6,124,222,161.2,22.8,250,5.1,4.3,0.12
173,Malcom Floyd,19,WR,SD,10,112,199,156.9,30.3,217,6.9,2.8,0.01
174,Devin Funchess,20,WR,CAR,5,54,256,165.8,39.6,172,4.7,5,0.18
175,Nick Toon,18,WR,NO,11,23,227,149,52.2,232,4.7,4.1,0.11
176,Cody Latimer,20,WR,DEN,7,119,197,163.4,19.2,149,5.1,2.8,0.01
177,Andy Dalton,20,QB,CIN,7,125,263,167.3,28.1,171,13.7,4,0.1
178,Daniel Herron,19,RB,IND,10,120,192,159.8,22.9,176,4.6,5,0.18
179,Jace Amaro,20,TE,NYJ,5,127,194,166.5,20.3,223,3.9,5.4,0.21
180,Chris Polk,18,RB,HOU,9,64,250,148.8,45.1,169,3.4,2.8,0.01
181,Matt Jones,20,RB,WAS,8,101,210,160.9,29.3,194,3.8,5,0.18
182,Carolina Panthers,20,DST,CAR,5,136,227,172.3,19.8,187,8,5,0.18
183,Lance Dunbar,19,RB,DAL,6,100,231,156,42.9,197,4.3,6.3,0.27
184,Mychal Rivera,20,TE,OAK,6,70,244,165.8,37.5,206,4.1,4.8,0.16
185,Jameis Winston,20,QB,TB,6,132,201,162.7,23.3,168,13.6,5,0.18
186,Theo Riddick,20,RB,DET,9,118,232,165.7,26.4,214,3.3,3.1,0.03
187,DeAngelo Williams,20,RB,PIT,11,121,220,172.6,21.4,151,3.2,3.4,0.06
188,Donte Moncrief,20,WR,IND,10,108,282,176.4,36.7,173,4.1,3.7,0.08
189,Maxx Williams,20,TE,BAL,9,130,233,168.9,26.6,205,3.9,5,0.18
190,Javorius Allen,20,RB,BAL,9,88,233,167.4,36.5,198,3.8,5,0.18
191,Marqise Lee,20,WR,JAC,8,118,245,168.2,28.6,220,4.1,3.5,0.06
192,Marcus Mariota,20,QB,TEN,4,113,216,162.4,28,186,14,5,0.18
193,Dorial Green-Beckham,20,WR,TEN,4,128,207,173.9,21.2,147,3.7,5,0.18
194,New York Jets,20,DST,NYJ,5,138,195,171.1,15.4,150,8,5,0.18
195,Robert Griffin III,20,QB,WAS,8,98,199,171.4,29,215,13.9,3.4,0.05
